2022-03-03 15:03:46,167 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:03:46,463 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:04:49,544 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:04:49,870 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:07:48,498 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:07:48,850 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:08:53,907 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:08:54,252 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:09:32,297 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:09:32,658 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:12,936 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 15:11:13,281 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 15:11:13,299 - movie_logger - INFO - 1-클라우스영화 제목 클릭... :
2022-03-03 15:11:14,135 - movie_logger - INFO - 영화 평점 클릭...
2022-03-03 15:11:14,153 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 15:11:14,169 - movie_logger - INFO - iframe으로 전환...
2022-03-03 15:11:20,272 - movie_logger - INFO - 140,클라우스
2022-03-03 15:11:20,400 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:20,438 - movie_logger - INFO - 141,클라우스
2022-03-03 15:11:20,470 - movie_logger - INFO - 142,클라우스
2022-03-03 15:11:20,502 - movie_logger - INFO - 143,클라우스
2022-03-03 15:11:20,533 - movie_logger - INFO - 144,클라우스
2022-03-03 15:11:20,565 - movie_logger - INFO - 145,클라우스
2022-03-03 15:11:20,596 - movie_logger - INFO - 146,클라우스
2022-03-03 15:11:20,628 - movie_logger - INFO - 147,클라우스
2022-03-03 15:11:20,665 - movie_logger - INFO - 148,클라우스
2022-03-03 15:11:20,698 - movie_logger - INFO - 149,클라우스
2022-03-03 15:11:20,732 - movie_logger - INFO - 150,클라우스
2022-03-03 15:11:20,871 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:20,913 - movie_logger - INFO - 151,클라우스
2022-03-03 15:11:20,946 - movie_logger - INFO - 152,클라우스
2022-03-03 15:11:20,979 - movie_logger - INFO - 153,클라우스
2022-03-03 15:11:21,012 - movie_logger - INFO - 154,클라우스
2022-03-03 15:11:21,044 - movie_logger - INFO - 155,클라우스
2022-03-03 15:11:21,078 - movie_logger - INFO - 156,클라우스
2022-03-03 15:11:21,111 - movie_logger - INFO - 157,클라우스
2022-03-03 15:11:21,145 - movie_logger - INFO - 158,클라우스
2022-03-03 15:11:21,180 - movie_logger - INFO - 159,클라우스
2022-03-03 15:11:21,214 - movie_logger - INFO - 160,클라우스
2022-03-03 15:11:21,338 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:21,380 - movie_logger - INFO - 161,클라우스
2022-03-03 15:11:21,416 - movie_logger - INFO - 162,클라우스
2022-03-03 15:11:21,450 - movie_logger - INFO - 163,클라우스
2022-03-03 15:11:21,484 - movie_logger - INFO - 164,클라우스
2022-03-03 15:11:21,517 - movie_logger - INFO - 165,클라우스
2022-03-03 15:11:21,549 - movie_logger - INFO - 166,클라우스
2022-03-03 15:11:21,582 - movie_logger - INFO - 167,클라우스
2022-03-03 15:11:21,615 - movie_logger - INFO - 168,클라우스
2022-03-03 15:11:21,648 - movie_logger - INFO - 169,클라우스
2022-03-03 15:11:21,683 - movie_logger - INFO - 170,클라우스
2022-03-03 15:11:21,811 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:21,855 - movie_logger - INFO - 171,클라우스
2022-03-03 15:11:21,889 - movie_logger - INFO - 172,클라우스
2022-03-03 15:11:21,925 - movie_logger - INFO - 173,클라우스
2022-03-03 15:11:21,958 - movie_logger - INFO - 174,클라우스
2022-03-03 15:11:21,991 - movie_logger - INFO - 175,클라우스
2022-03-03 15:11:22,024 - movie_logger - INFO - 176,클라우스
2022-03-03 15:11:22,058 - movie_logger - INFO - 177,클라우스
2022-03-03 15:11:22,091 - movie_logger - INFO - 178,클라우스
2022-03-03 15:11:22,124 - movie_logger - INFO - 179,클라우스
2022-03-03 15:11:22,158 - movie_logger - INFO - 180,클라우스
2022-03-03 15:11:22,283 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:22,327 - movie_logger - INFO - 181,클라우스
2022-03-03 15:11:22,363 - movie_logger - INFO - 182,클라우스
2022-03-03 15:11:22,396 - movie_logger - INFO - 183,클라우스
2022-03-03 15:11:22,429 - movie_logger - INFO - 184,클라우스
2022-03-03 15:11:22,463 - movie_logger - INFO - 185,클라우스
2022-03-03 15:11:22,496 - movie_logger - INFO - 186,클라우스
2022-03-03 15:11:22,532 - movie_logger - INFO - 187,클라우스
2022-03-03 15:11:22,566 - movie_logger - INFO - 188,클라우스
2022-03-03 15:11:22,601 - movie_logger - INFO - 189,클라우스
2022-03-03 15:11:22,635 - movie_logger - INFO - 190,클라우스
2022-03-03 15:11:22,762 - movie_logger - INFO - 다음 페이지 클릭...
2022-03-03 15:11:22,804 - movie_logger - INFO - 191,클라우스
2022-03-03 15:11:22,840 - movie_logger - INFO - 192,클라우스
2022-03-03 15:11:22,874 - movie_logger - INFO - 193,클라우스
2022-03-03 15:11:22,907 - movie_logger - INFO - 194,클라우스
2022-03-03 15:11:22,942 - movie_logger - INFO - 195,클라우스
2022-03-03 15:11:22,976 - movie_logger - INFO - 196,클라우스
2022-03-03 15:11:23,011 - movie_logger - INFO - 197,클라우스
2022-03-03 15:11:23,046 - movie_logger - INFO - 198,클라우스
2022-03-03 15:11:23,080 - movie_logger - INFO - 199,클라우스
2022-03-03 15:11:23,116 - movie_logger - INFO - 200,클라우스
