2022-03-07 17:03:29,641 - movie_logger - INFO - °¡»ó ºê¶ó¿ìÀú ½ÇÇà...
2022-03-07 17:03:29,978 - movie_logger - INFO - ³×ÀÌ¹ö ¿µÈ­ ·©Å· 1ÆäÀÌÁö ÀÌµ¿...
2022-03-07 17:03:29,998 - movie_logger - INFO - 50-¾Ë¶óµò¿µÈ­ Á¦¸ñ Å¬¸¯... :
2022-03-07 17:03:31,148 - movie_logger - INFO - ¿µÈ­ ÆòÁ¡ Å¬¸¯...
2022-03-07 17:03:31,168 - movie_logger - INFO - ¿µÈ­ Á¦¸ñ ¼öÁý : ¾Ë¶óµò
2022-03-07 17:03:31,185 - movie_logger - INFO - iframeÀ¸·Î ÀüÈ¯...
2022-03-07 17:03:36,842 - movie_logger - INFO - 122,¾Ë¶óµò
2022-03-07 17:03:36,875 - movie_logger - INFO - 123,¾Ë¶óµò
2022-03-07 17:03:36,907 - movie_logger - INFO - 124,¾Ë¶óµò
2022-03-07 17:03:36,939 - movie_logger - INFO - 125,¾Ë¶óµò
2022-03-07 17:03:36,971 - movie_logger - INFO - 126,¾Ë¶óµò
2022-03-07 17:03:37,004 - movie_logger - INFO - 127,¾Ë¶óµò
2022-03-07 17:03:37,039 - movie_logger - INFO - 128,¾Ë¶óµò
2022-03-07 17:03:37,070 - movie_logger - INFO - 129,¾Ë¶óµò
2022-03-07 17:03:37,102 - movie_logger - INFO - 130,¾Ë¶óµò
2022-03-07 17:03:37,241 - movie_logger - INFO - ´ÙÀ½ ÆäÀÌÁö Å¬¸¯...
2022-03-07 17:03:37,281 - movie_logger - INFO - 131,¾Ë¶óµò
2022-03-07 17:03:37,317 - movie_logger - INFO - 132,¾Ë¶óµò
2022-03-07 17:03:37,352 - movie_logger - INFO - 133,¾Ë¶óµò
2022-03-07 17:03:37,387 - movie_logger - INFO - 134,¾Ë¶óµò
2022-03-07 17:03:37,422 - movie_logger - INFO - 135,¾Ë¶óµò
2022-03-07 17:03:37,457 - movie_logger - INFO - 136,¾Ë¶óµò
